id,title,category,source,url,asking_price_aud,revenue_aud,ebitda_aud,location,lat,lon,ownership,days_on_market,date_listed,notes,contact,score,features
CRE Brokers-1800457,Caravan Parks For Sale in Australia,Caravan Park/Campground,CRE Brokers,https://www.crebrokers.com/showCategory/caravan-parks,25.0,,,AU,,,Mixed,0,2025-11-06,Caravan Parks For Sale · Established Beachfront Caravan Park with new 25-Year Lease – Pt Lincoln Caravan Park · Harrietville Caravan Park - Established leasehold ...,,0.345,"{'margin': 0.0, 'price_to_ebitda': 0, 'recency': 1.0, 'freehold': 0.3, 'category': 1, 'proximity': 0.5}"
CRE Brokers-705768,caravan parks,Caravan Park/Campground,CRE Brokers,https://www.crebrokers.com/showCategory/caravan-parks?sorting=price&type=list&page=2,2800000.0,,,AU,,,Mixed,0,2025-11-06,"Gateway to the Flinders Ranges – Peterborough Caravan Park For Sale. Peterborough. FHGC - $2,800,000. CRE Brokers are proud to present the Freehold Going ...",,0.345,"{'margin': 0.0, 'price_to_ebitda': 0, 'recency': 1.0, 'freehold': 0.3, 'category': 1, 'proximity': 0.5}"
CRE Brokers-56661,caravan parks,Caravan Park/Campground,CRE Brokers,https://www.crebrokers.com/showCategory/caravan-parks?type=list&order=asc&page=2,30.0,,,AU,,,Mixed,0,2025-11-06,CARAVAN PARKS ; Wayatinah Lakeside Caravan Park - Well-maintained Freehold Going Concern - Expressions of Interest Closing 30th October 2025. Address available ...,,0.345,"{'margin': 0.0, 'price_to_ebitda': 0, 'recency': 1.0, 'freehold': 0.3, 'category': 1, 'proximity': 0.5}"
CRE Brokers-2373685,Millaa Millaa Tourist Park for Sale 7523,Caravan Park/Campground,CRE Brokers,https://www.crebrokers.com/properties/caravan-parks/picturesque-tablelands-caravan-park-on-7-acres-with-upside-1p6269cp,7.0,,,AU,,,Mixed,0,2025-11-06,"Set across 7 acres of rainforest gardens in the heart of Far North Queensland ... Highway Caravan Park in the Whitsunday Region. Myrtlevale. FHGC - $3,000,000.",,0.345,"{'margin': 0.0, 'price_to_ebitda': 0, 'recency': 1.0, 'freehold': 0.3, 'category': 1, 'proximity': 0.5}"
CRE Brokers-109910,caravan parks,Caravan Park/Campground,CRE Brokers,https://www.crebrokers.com/showCategory/caravan-parks?order=asc&sorting=price&type=list&page=2,2800000.0,,,AU,,,Mixed,0,2025-11-06,"Gateway to the Flinders Ranges – Peterborough Caravan Park For Sale. Peterborough. FHGC - $2,800,000. CRE Brokers are proud to present the Freehold Going ...",,0.345,"{'margin': 0.0, 'price_to_ebitda': 0, 'recency': 1.0, 'freehold': 0.3, 'category': 1, 'proximity': 0.5}"
CRE Brokers-3018337,Coastal Beachside Caravan Park - With Upside! 5354,Caravan Park/Campground,CRE Brokers,https://www.crebrokers.com/properties/caravan-parks/urgent-sale-required-coastal-caravan-park-16-roi-1p6366,535.0,,,AU,,,Mixed,0,2025-11-06,"CRE Brokers a pleased to be appointed to sell this well-located Caravan Park with heaps of upside. Situated midway between Cairns and Townsville, ...",,0.345,"{'margin': 0.0, 'price_to_ebitda': 0, 'recency': 1.0, 'freehold': 0.3, 'category': 1, 'proximity': 0.5}"
CRE Brokers-4822239,caravan parks,Caravan Park/Campground,CRE Brokers,https://crebrokers.com/showCategory/caravan-parks?page=4&sorting=price&type=list&order=asc,,,,AU,,,Mixed,0,2025-11-06,"CARAVAN PARKS · Tourist Park Development Site · Prime Coastal Caravan Park – Freehold Going Concern Opportunity · Turnkey Whitsundays Tourist Park – Renewed, ...",,0.345,"{'margin': 0.0, 'price_to_ebitda': 0, 'recency': 1.0, 'freehold': 0.3, 'category': 1, 'proximity': 0.5}"
CRE Brokers-7393175,SOLD - Very Neat Mission Beach Caravan Park,Caravan Park/Campground,CRE Brokers,https://www.crebrokers.com/properties/caravan-parks/very-neat-mission-beach-caravan-park-1p6296cp,,,,AU,,,Mixed,0,2025-11-06,"With two very comfortable residences, this delightful caravan park would suit a family operation wanting to reside and enjoy the bustling Mission Beach ...",,0.345,"{'margin': 0.0, 'price_to_ebitda': 0, 'recency': 1.0, 'freehold': 0.3, 'category': 1, 'proximity': 0.5}"
CRE Brokers-7225064,Kevin Connolly: A Legacy of Success in Caravan Park Sales,Caravan Park/Campground,CRE Brokers,https://www.crebrokers.com/articles/caravan-park-sales,,,,AU,,,Mixed,0,2025-11-06,"With a career spanning over four decades, Kevin has played a pivotal role in shaping the caravan park sales landscape, helping countless owners maximize their ...",,0.345,"{'margin': 0.0, 'price_to_ebitda': 0, 'recency': 1.0, 'freehold': 0.3, 'category': 1, 'proximity': 0.5}"
CRE Brokers-8678682,A Unique 112-Acre Waterfront Land Bank on Queensland's ...,Caravan Park/Campground,CRE Brokers,https://www.crebrokers.com/properties/caravan-parks/development-opportunity-airstrip-golf-course-boat-ramp-112-acres-alongside-baffle-creek-with-da-for-nature-based-tourism-1p4787,3000000.0,,,AU,,,Mixed,0,2025-11-06,"Highway Caravan Park in the Whitsunday Region. Myrtlevale. FHGC - $3,000,000. > See Details. Want to know more about this property? View More in Client Portal.",,0.345,"{'margin': 0.0, 'price_to_ebitda': 0, 'recency': 1.0, 'freehold': 0.3, 'category': 1, 'proximity': 0.5}"
CRE Brokers-5314756,motels,Caravan Park/Campground,CRE Brokers,https://www.crebrokers.com/showCategory/motels?order=asc&type=list&sorting=price&page=5,3700000.0,,,AU,,,Mixed,0,2025-11-06,"Paringa Hotel Motel. Paringa. INV $3,700,000. This sought after gaming hotel investment opportunity is available for the first time in almost 40 years. The ...",,0.345,"{'margin': 0.0, 'price_to_ebitda': 0, 'recency': 1.0, 'freehold': 0.3, 'category': 1, 'proximity': 0.5}"
CRE Brokers-4407282,motels,Caravan Park/Campground,CRE Brokers,https://crebrokers.com/showCategory/motels?page=2&sorting=price&type=list&type=list,,,,AU,,,Mixed,0,2025-11-06,An Award-Winning Boutique Hotel Opportunity in the Heart of Melbourne. Address available on request. Leasehold - Expressions of Interest. Nestled in the heart ...,,0.345,"{'margin': 0.0, 'price_to_ebitda': 0, 'recency': 1.0, 'freehold': 0.3, 'category': 1, 'proximity': 0.5}"
CRE Brokers-484609,hotels & bars,Caravan Park/Campground,CRE Brokers,https://crebrokers.com/showCategory/hotels-&-bars?order=asc&type=list&page=6,473.0,,,AU,,,Mixed,0,2025-11-06,"CRE Brokers are pleased to offer for private sale the Leasehold Business of Hotel Lona, 473 Nepean Highway, Frankston Victoria.Located on the corner of ...",,0.345,"{'margin': 0.0, 'price_to_ebitda': 0, 'recency': 1.0, 'freehold': 0.3, 'category': 1, 'proximity': 0.5}"
CRE Brokers-7694208,hotels & bars,Caravan Park/Campground,CRE Brokers,https://crebrokers.com/showCategory/hotels-&-bars?type=list&sorting=price&page=1,30.0,,,AU,,,Mixed,0,2025-11-06,"Cumberland Hotel - Leasehold Hotel with 30 Electronic Gaming Machines. Castlemaine. Leasehold $5,750,000. A rare opportunity to secure one of the largest and ...",,0.345,"{'margin': 0.0, 'price_to_ebitda': 0, 'recency': 1.0, 'freehold': 0.3, 'category': 1, 'proximity': 0.5}"
CRE Brokers-1072590,hotels & bars,Caravan Park/Campground,CRE Brokers,https://crebrokers.com/showCategory/hotels-&-bars?sorting=price&type=list&order=desc&page=1,473.0,,,AU,,,Mixed,0,2025-11-06,"CRE Brokers are pleased to offer for private sale the Leasehold Business of Hotel Lona, 473 Nepean Highway, Frankston Victoria.Located on the corner of ...",,0.345,"{'margin': 0.0, 'price_to_ebitda': 0, 'recency': 1.0, 'freehold': 0.3, 'category': 1, 'proximity': 0.5}"
CRE Brokers-4929034,hotels & bars,Caravan Park/Campground,CRE Brokers,https://crebrokers.com/showCategory/hotels-&-bars?order=asc&page=5&sorting=date&type=list&order=asc,27.0,,,AU,,,Mixed,0,2025-11-06,"Auction 27th November 2025 1pm Onsite. CRE Brokers is pleased to present the former Globe Hotel, Corowa – offered as Freehold with Vacant Possession.",,0.345,"{'margin': 0.0, 'price_to_ebitda': 0, 'recency': 1.0, 'freehold': 0.3, 'category': 1, 'proximity': 0.5}"
CRE Brokers-8719407,CRE Brokers,Caravan Park/Campground,CRE Brokers,https://www.crebrokers.com/brokers/cre-brokers,630000.0,,,AU,,,Mixed,0,2025-11-06,"Lifestyle Hotel on The Great Alpine Road. Ensay. FHGC $630,000 ; Massive Development Potential on Prime Gold Coast Land! Address available on request. Offers ...",,0.345,"{'margin': 0.0, 'price_to_ebitda': 0, 'recency': 1.0, 'freehold': 0.3, 'category': 1, 'proximity': 0.5}"
CRE Brokers-4679309,Superb Murray River Corporate Motel Investment 7579,Caravan Park/Campground,CRE Brokers,https://crebrokers.com/properties/motels/outstanding-regional-freehold-investment-1p5804,757.0,,,AU,,,Mixed,0,2025-11-06,"If you are looking at selling or purchasing an accommodation business, management rights, hotel/motel, then please get in contact with Kevin and Twee from ...",,0.345,"{'margin': 0.0, 'price_to_ebitda': 0, 'recency': 1.0, 'freehold': 0.3, 'category': 1, 'proximity': 0.5}"
CRE Brokers-6308404,Business / Investment Property Guide,Caravan Park/Campground,CRE Brokers,https://www.crebrokers.com/booklets/in-focus-17.pdf,120000.0,,,AU,,,Mixed,0,2025-11-06,"Majestic Double Storey Victorian Hotel. FOR SALE AS A. Leasehold Business. $120,000. FOR SALE AS A. Leasehold Business. $180,000. Outstanding Regional Hotel. □ ...",,0.345,"{'margin': 0.0, 'price_to_ebitda': 0, 'recency': 1.0, 'freehold': 0.3, 'category': 1, 'proximity': 0.5}"
